right_db,left_db,RT,choice
16.0,24.0,0.140625,-1.0
24.0,16.0,0.302734375,1.0
19.5,20.5,0.3232421875,-1.0
21.0,19.0,0.921875,-1.0
19.0,21.0,0.2314453125,-1.0
18.0,22.0,0.1455078125,-1.0
20.5,19.5,0.37890625,-1.0
19.0,21.0,0.373046875,-1.0
21.0,19.0,0.1884765625,1.0
12.0,28.0,0.12890625,-1.0
16.0,24.0,0.1865234375,-1.0
19.0,21.0,0.43359375,1.0
18.0,22.0,0.392578125,-1.0
22.0,18.0,0.599609375,1.0
20.5,19.5,0.7744140625,-1.0
24.0,16.0,0.326171875,1.0
12.0,28.0,0.15234375,-1.0
24.0,16.0,0.1591796875,1.0
21.0,19.0,0.2138671875,1.0
16.0,24.0,0.1103515625,-1.0
18.0,22.0,0.375,-1.0
12.0,28.0,0.17578125,-1.0
19.5,20.5,0.7021484375,-1.0
20.5,19.5,0.2568359375,1.0
16.0,24.0,0.544921875,-1.0
19.5,20.5,0.8876953125,-1.0
20.5,19.5,0.2802734375,1.0
12.0,28.0,0.1806640625,-1.0
28.0,12.0,0.1552734375,1.0
19.0,21.0,0.6142578125,-1.0
24.0,16.0,0.259765625,1.0
28.0,12.0,0.1240234375,1.0
20.5,19.5,0.3818359375,1.0
28.0,12.0,0.427734375,1.0
19.0,21.0,0.0263671875,1.0
21.0,19.0,0.1708984375,1.0
19.0,21.0,0.2197265625,1.0
19.5,20.5,0.349609375,-1.0
16.0,24.0,0.1298828125,-1.0
24.0,16.0,0.1357421875,1.0
12.0,28.0,0.18359375,-1.0
18.0,22.0,0.1298828125,-1.0
21.0,19.0,0.4453125,1.0
24.0,16.0,0.177734375,1.0
22.0,18.0,0.12109375,1.0
16.0,24.0,0.15625,-1.0
18.0,22.0,0.5654296875,-1.0
20.5,19.5,0.2919921875,1.0
24.0,16.0,0.15625,1.0
21.0,19.0,0.099609375,1.0
18.0,22.0,0.3271484375,-1.0
20.5,19.5,0.173828125,1.0
19.0,21.0,0.1396484375,-1.0
22.0,18.0,0.2568359375,1.0
20.5,19.5,0.30078125,1.0
19.0,21.0,0.3447265625,1.0
28.0,12.0,0.0634765625,1.0
24.0,16.0,0.240234375,1.0
20.5,19.5,0.232421875,1.0
18.0,22.0,0.9423828125,-1.0
19.5,20.5,0.466796875,-1.0
28.0,12.0,0.1572265625,1.0
16.0,24.0,0.2578125,-1.0
21.0,19.0,0.59375,-1.0
22.0,18.0,0.1748046875,1.0
19.0,21.0,0.1455078125,1.0
24.0,16.0,0.28515625,1.0
16.0,24.0,0.244140625,-1.0
12.0,28.0,0.39453125,-1.0
18.0,22.0,0.4384765625,-1.0
28.0,12.0,0.138671875,1.0
20.5,19.5,0.5556640625,-1.0
19.0,21.0,0.37890625,-1.0
19.5,20.5,0.2275390625,-1.0
12.0,28.0,0.095703125,-1.0
16.0,24.0,0.3076171875,-1.0
12.0,28.0,0.099609375,-1.0
20.5,19.5,0.5126953125,-1.0
24.0,16.0,0.3984375,1.0
20.5,19.5,0.802734375,-1.0
19.5,20.5,0.3466796875,-1.0
16.0,24.0,0.4873046875,-1.0
28.0,12.0,0.3173828125,1.0
12.0,28.0,0.25390625,-1.0
22.0,18.0,0.2978515625,1.0
28.0,12.0,0.216796875,1.0
21.0,19.0,0.212890625,1.0
16.0,24.0,0.1904296875,-1.0
28.0,12.0,0.3310546875,1.0
21.0,19.0,0.3427734375,1.0
21.0,19.0,0.775390625,1.0
22.0,18.0,0.5244140625,1.0
19.0,21.0,0.1474609375,-1.0
24.0,16.0,0.123046875,1.0
12.0,28.0,0.197265625,-1.0
28.0,12.0,0.169921875,1.0
19.0,21.0,0.9140625,-1.0
22.0,18.0,0.6279296875,1.0
16.0,24.0,0.4267578125,-1.0
21.0,19.0,0.38671875,1.0
28.0,12.0,0.5009765625,1.0
20.5,19.5,0.3037109375,-1.0
19.5,20.5,0.451171875,1.0
19.0,21.0,0.787109375,-1.0
24.0,16.0,0.5556640625,1.0
20.5,19.5,0.5263671875,-1.0
28.0,12.0,0.1875,1.0
28.0,12.0,0.1640625,1.0
22.0,18.0,0.3212890625,1.0
12.0,28.0,0.1591796875,-1.0
16.0,24.0,0.150390625,-1.0
19.0,21.0,0.478515625,-1.0
21.0,19.0,0.376953125,1.0
19.0,21.0,0.6455078125,-1.0
22.0,18.0,0.61328125,1.0
28.0,12.0,0.2998046875,1.0
22.0,18.0,0.3544921875,1.0
16.0,24.0,0.1513671875,-1.0
